NAME,neighbourhood_group,neighbourhood,room_type,price,number_of_reviews,last_review
COZY ROOM WITH NICE VIEW.(20MN TO TIMES SQUARE).,Brooklyn,Bay Ridge,Entire home/apt,125,1,07/08/2018
THREE BEDROOM / 2.5 RESTROOM IN WARM RELAXING HOME,Brooklyn,Sheepshead Bay,Entire home/apt,95,13,07/06/2019
LUXURY HIGHRISE WITH GOLF SIMULATOR/SAUANA MRY HIL,Brooklyn,Williamsburg,Entire home/apt,250,7,30/05/2019
"QUIET, COMFORTABLE & BRIGHT APT IN EAST VILLAGE",Manhattan,Little Italy,Entire home/apt,150,6,17/06/2019
HOME AWAY FROM HOME IN BROOKLYN/QUEENS BORDERLINE,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,1,15/08/2017
BEAUTIFUL ROOM WITH VIEW IN NEWLY-RENOVATED HOUSE,Brooklyn,Bedford-Stuyvesant,Entire home/apt,95,29,29/06/2019
COZY 1 BR IN HIP CROWN HEIGHTS,Manhattan,Hell's Kitchen,Entire home/apt,280,9,21/03/2019
"EH  IT'S AN APARTMENT,  CONTROL YOURSELF",Manhattan,Two Bridges,Private room,110,1,28/09/2018
ELEGANT &CLASSICAL. 30 MINS TO MIDTOWN  MANHATTAN!,Queens,Jamaica,Private room,65,8,26/09/2018
PRIVATE GRAMERCY STUDIO BTWN DOWNTOWN & MIDTOWN!,Queens,Ditmars Steinway,Private room,59,100,23/06/2019
NEW RENOVATED STUDIO~PRIME UPPER EAST~W/D,Queens,Ditmars Steinway,Private room,55,70,23/06/2019
CHIC PRIVATE BEDROOM IN UPPER WEST SIDE 107,Queens,Ditmars Steinway,Private room,60,80,23/06/2019
COZY PRIVATE BEDROOM IN UPPER WEST SIDE 107,Manhattan,Hell's Kitchen,Entire home/apt,199,59,24/06/2019
CALMING PRIVATE BR IN UPPER WEST SIDE 107,Brooklyn,Gowanus,Private room,79,81,23/06/2019
STYLISH PRIVATE BEDROOM IN UPPER WEST SIDE 107,Brooklyn,Williamsburg,Private room,65,15,27/05/2019
VIBRANT PRIVATE BEDROOM IN UWS 107,Brooklyn,Bushwick,Entire home/apt,85,2,21/05/2019
BEAUTIFUL GARDEN APARTMENT BEDFORD AVE. STOP ON L,Bronx,Mount Hope,Entire home/apt,250,45,25/06/2019
PEACEFUL ROOM IN COOL AREA CLOSE TO G/7/FERRY/JFK,Manhattan,Upper East Side,Private room,246,10,24/10/2018
SPACIOUS GROUND FLOOR IN BROOKLYN TOWN HOUSE,Manhattan,Murray Hill,Entire home/apt,150,1,17/09/2017
PARK SLOPE VILLA,Brooklyn,Clinton Hill,Entire home/apt,250,67,11/06/2019
NEW LARGE BEAUTIFUL ROOM WITH PRIVATE BATHROOM,Staten Island,Concord,Private room,34,24,18/05/2019
BEAUTIFUL SPACIOUS ROOM W/ QUEEN BED - NEAR SUBWAY,Staten Island,Concord,Private room,35,19,22/06/2019
COMFY PRIVATE ROOM W/ FULL BED - NEARBY SUBWAY,Staten Island,Concord,Private room,33,29,09/06/2019
¬å¥NEWLY RENOVATED¬å¥ 2 BDR | SLEEPS 4 @ BROOKLYN,Manhattan,Hell's Kitchen,Entire home/apt,130,7,24/06/2019
LIVING IN ART,Manhattan,Midtown,Entire home/apt,350,1,06/12/2017
"¬ô•PRIVATE-KEYED ROOM #2 - DESK, CLOSET, QUEEN-BED¬ô•",Queens,Bellerose,Private room,60,27,05/07/2019
"¬ô•PRIVATE-KEYED ROOM #1 - DESK, CLOSET, QUEEN-BED¬ô•",Brooklyn,Williamsburg,Private room,65,2,22/04/2018
HEART OF TIME SQUARE W/ SPECTACULAR VIEW  3BR 2BA,Manhattan,Upper East Side,Entire home/apt,219,29,26/06/2019
ROOM IN EAST HARLEM,Brooklyn,Flatlands,Private room,46,4,12/08/2017
"PRIVATE BATHROOM/BEDROOM, EASY ACCESS TO JFK/LGA",Manhattan,Financial District,Entire home/apt,200,74,24/06/2019
FULL SIZE BED SUITE.,Brooklyn,Bedford-Stuyvesant,Entire home/apt,160,130,29/06/2019
"LARGE, SUNNY ROOM WITH PRIVATE BATH.",Manhattan,Nolita,Entire home/apt,350,5,25/05/2019
LOVELY HISTORIC GARDEN LEVEL APARTMENT,Brooklyn,Williamsburg,Entire home/apt,175,30,25/06/2019
BEST UPPER WEST SIDE TWO BEDROOM APARTMENT,Manhattan,Midtown,Entire home/apt,105,4,05/01/2019
"2 BEDROOM MODERN APARTMENT, TRAINS NEARBY, A GEM!",Manhattan,Hell's Kitchen,Entire home/apt,160,4,30/04/2019
EDDIES PLACE #2,Brooklyn,Park Slope,Private room,97,54,17/06/2019
"NICE PLACE,WHERE YOU CAN BE COMFORTABLE",Manhattan,West Village,Entire home/apt,225,8,03/12/2018
"BRIGHT, CLEAN AND MODERN WILLIAMSBURG STUDIO",Manhattan,Hell's Kitchen,Entire home/apt,130,7,29/06/2019
BRIGHT HIGH CEILING BEDROOM IN EAST WILLIAMSBURG,Brooklyn,Columbia St,Entire home/apt,149,9,26/06/2019
"ONE BEDROOM APT IN MANHATTAN, EAST VILLAGE",Brooklyn,Bedford-Stuyvesant,Shared room,200,1,02/09/2017
EMPIRE ST VIEW>LUXURY 3BR 2BA BALCONY HIGH FL>GYM,Brooklyn,Crown Heights,Entire home/apt,78,3,27/05/2019
"LUMINOUS, COZY BR W/ PERSONAL BA + ENTRANCE IN BK",Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,214,37,29/05/2019
CLEAN AND QUIET ROOM IN HOME,Queens,Astoria,Private room,65,5,26/02/2019
LUXURY DUPLEX WITH LARGE LOFT SPACE AND TERRACE,Queens,Ditmars Steinway,Private room,45,72,15/06/2019
SPACIOUS- 3 BEDROOM HARLEM GEM 5 MINS FROM TRAIN,Brooklyn,East Flatbush,Entire home/apt,95,43,01/07/2019
MODERN PRIVATE ROOM IN HELL'S KITCHEN- TIMES SQUAR,Manhattan,Hell's Kitchen,Private room,111,136,06/07/2019
BEAUTIFUL RENOVATED 1-BED IN PARK SLOPE BROWNSTONE,Brooklyn,Red Hook,Entire home/apt,145,11,25/05/2019
"¬òÖCLEAN, PRIVATE BEDROOM IN LITTLE ITALY/CHINATOWN¬òÖ",Brooklyn,Bushwick,Entire home/apt,50,3,24/11/2017
SPACIOUS AND CONVENIENT ROOM AT HAMILTON HEIGHTS!,Brooklyn,Brooklyn Heights,Entire home/apt,585,10,18/02/2019
NEWLY RENOVATED 2 BR 7MIN  LGA/JFK/7 MILE MIDTOWN,Brooklyn,East New York,Private room,40,56,23/06/2019
LUXURY PRIVATE BED SAME STREET AS SUBWAY!,Brooklyn,East New York,Private room,40,104,22/06/2019
LARGE  3BR WILLIAMSBURG APT MINS FROM MANHATTAN,Brooklyn,East Flatbush,Entire home/apt,56,82,12/05/2019
SWEET  PRIVATE ROOM IN THE HEART OF MANHATTAN NYC,Manhattan,Upper East Side,Entire home/apt,795,9,02/07/2019
"BRIGHT ROOM IN HUGE, DOG-FRIENDLY APT W/ BALCONY",Queens,Astoria,Entire home/apt,135,19,01/07/2019
LUX 2 BEDROOM SLEEP 6 CITY CENTER PRIVATE DECK,Brooklyn,Gowanus,Entire home/apt,298,3,27/05/2019
"BEST LOCATION, BEST ROOF!",Brooklyn,Sheepshead Bay,Entire home/apt,100,23,11/11/2018
PARLOUR ROOM CENTRAL PARK/ COLUMBIA UNIVERSITY,Manhattan,Lower East Side,Entire home/apt,115,69,23/06/2019
COZY ROOM IN HAMILTON HEIGHTS R3,Brooklyn,Williamsburg,Private room,50,1,22/06/2019
YOUR PRIVATE PLACE IN A COZY CASA,Manhattan,Lower East Side,Entire home/apt,449,3,05/05/2019
"ENTIRE APT, 2 BDR,COMMERCIAL AREA,PRIVATE ENTRANCE",Bronx,Parkchester,Shared room,26,18,23/04/2019
PERFECTLY LOCATED PRIVATE APARTMENT - AFFORDABLE,Brooklyn,Sheepshead Bay,Entire home/apt,130,41,06/07/2019
OCEANFRONT BEACH BUNGALOW,Manhattan,East Village,Entire home/apt,239,13,24/04/2019
WEST HARLEM ROOM - 1 BLOCK FROM THE SUBWAY,Queens,Long Island City,Private room,84,70,29/05/2019
SLEEP 6 ADULTS & 2 CHILDREN - 2 LEVEL GARDEN APT,Manhattan,East Harlem,Private room,44,3,26/05/2019
COZY N' BRIGHT SANCTUARY IN LOVELY CARROLL GARDENS,Manhattan,Harlem,Private room,100,62,14/06/2019
BRIGHTLY ARTSY 1 BEDROOM NEXT TO PRATT INSTITUTE,Manhattan,Chelsea,Entire home/apt,500,40,19/06/2019
"LUXURY APARTMENT, 15 MINUTE TRAIN TO MIDTOWN.",Manhattan,East Harlem,Private room,46,5,30/06/2019
SPACIOUS STUDIO WITH AMAZING VIEWS,Queens,Flushing,Entire home/apt,140,3,11/08/2018
COZY & SHINNY 1BR IN LOWER EAST SIDE,Manhattan,East Harlem,Private room,41,5,04/05/2019
VIBRANT BEDROOM IN UPPER WEST SIDE 107,Brooklyn,Bushwick,Private room,35,5,18/09/2018
"LYRIC - 1 BEDROOM SUITE, 2 BATH, KITCHEN",Brooklyn,Crown Heights,Entire home/apt,114,72,19/06/2019
ENTIRE APARTMENT.,Queens,Elmhurst,Private room,57,103,02/07/2019
SPACIOUS STUDIO IN HELL'S KITCHEN,Brooklyn,Bedford-Stuyvesant,Private room,40,13,08/06/2019
BACK BEDROOM NEXT TO KITCHEN AND BATHROOM,Brooklyn,Bedford-Stuyvesant,Private room,60,65,18/06/2019
WILLIAMSBURG MICRO GUEST HOUSE,Manhattan,NoHo,Entire home/apt,137,17,18/06/2019
COSY GARDEN APARTMENT WILLIAMSBURG NY HOUSE,Manhattan,East Village,Entire home/apt,150,1,16/07/2018
BLUE HOUSE ON THE HILL,Brooklyn,Crown Heights,Private room,80,7,28/09/2018
PRIVATE APARTMENT BUSINESS FRIENDLY,Brooklyn,Prospect-Lefferts Gardens,Private room,33,3,11/06/2019
SPRING ROOM ∆ò•,Manhattan,Upper East Side,Entire home/apt,197,11,31/05/2019
BEST PLACE TO STAY IN THE HEART OF QUEENS,Bronx,East Morrisania,Private room,65,91,22/06/2019
PRIME LOCATION NYC 2 BEDROOMS,Brooklyn,Bushwick,Private room,50,28,22/04/2019
PUNJABI HOUSE 2,Brooklyn,Flatbush,Entire home/apt,200,17,17/06/2019
"HARLEM 3 BEDROOM, 1.5 BATHROOM CONDO - BRIGHT!",Brooklyn,Crown Heights,Private room,60,48,14/06/2019
"XL CLEAN ROOM IN MANHATTAN, 1 BLOCK FROM SUBWAY!",Brooklyn,Crown Heights,Entire home/apt,399,5,24/03/2019
"8MINS  TO JFK AIRPORT, SEPARATE DOOR & BATHROOM",Manhattan,Hell's Kitchen,Entire home/apt,279,130,04/07/2019
SPACIOUS 3 BDRMS/ 2 BATHS  PRIME MANHATTAN,Manhattan,East Harlem,Private room,51,2,20/05/2019
HOME SWEET HOME,Manhattan,Hell's Kitchen,Private room,130,3,20/05/2018
SUNNY BR W/ PRIVATE LR 15 MIN TO JFK FREE PARKING,Brooklyn,Flatlands,Private room,47,36,05/07/2019
2 JFK LAYOVER - EXPRESS TRAIN TO MANHATTAN-30 MINS,Manhattan,Upper West Side,Private room,99,90,30/05/2019
HARLEM SWEETS HOME,Bronx,Morris Park,Private room,29,53,19/01/2019
TWIN BEDS  WITH SAUNA & RELAXING SPA AMENITIES,Manhattan,Inwood,Private room,70,1,02/07/2019
DOWNTOWN WILLIAMSBURG LOFT,Brooklyn,Bedford-Stuyvesant,Entire home/apt,152,72,29/06/2019
"HUDSON RIVER/GW BRIDGE 
VIEW. SPACIOUS  ROOM",Manhattan,NoHo,Entire home/apt,1795,38,21/06/2019
SUN-DRENCHED AND SPACIOUS STUDIO,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,68,30/06/2019
"COZY, QUIET ROOM NEAR TIMES SQUARE",Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,69,11,27/06/2019
UNIQUE HOLIDAY HOME,Brooklyn,Bedford-Stuyvesant,Private room,55,53,23/06/2019
"TIMES SQUARE SUITE WITH AMAZING VIEWS, HIGH FLOOR!",Brooklyn,Bedford-Stuyvesant,Private room,45,38,13/06/2019
"AMAZING VIEWS, SUN, LUXE STYLE, LIVE LIKE A LOCAL!",Queens,Corona,Shared room,37,26,30/06/2019
AMAZING STUDIO AT THE TIME SQUARE AREA/54D,Queens,Arverne,Entire home/apt,275,24,23/06/2019
CENTRAL PARK & ROOFTOP WITH 4 LARGE LUXURY ROOMS,Brooklyn,Bushwick,Entire home/apt,150,32,25/06/2019
SENSE THE SPIRIT OF NEW YORK,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,39,30/06/2019
"PERFECTLY LOCATED, BRIGHT, CLEAN AND SPACIOUS",Manhattan,Chelsea,Entire home/apt,230,5,20/06/2019
FLUSHING DOWNTOWN SINGLE ROOM,Queens,Forest Hills,Entire home/apt,268,4,16/06/2019
"PREMIER ROOM IN DOWNTOWN NY, TWO BRIDGES,CHINATOWN",Brooklyn,Canarsie,Private room,89,9,19/05/2019
CUTE STUDIO IN CENTRAL OF MIDTOWN,Staten Island,Tompkinsville,Private room,59,26,22/06/2019
SPACIOUS BRIGHT & COZY 1BR IN CHELSEA MANHATTAN,Brooklyn,Canarsie,Private room,75,11,13/06/2019
SPACIOUS BK DUPLEX | SLEEP 10 | 15MIN TO MANHATTAN,Brooklyn,Clinton Hill,Entire home/apt,158,97,19/06/2019
THE HEART OF NYC,Manhattan,Upper West Side,Entire home/apt,299,57,30/06/2019
CUTE BEDROOM IN HEART OF BUSHWICK (A/C PROVIDED),Brooklyn,Greenpoint,Entire home/apt,150,27,13/06/2019
EXCELENT NEIGHBOORHOOD,Manhattan,East Village,Private room,175,68,12/05/2019
GREENWICH VILLAGE LUXURY LOFT,Queens,Astoria,Private room,80,35,08/06/2019
RENOVATED TOWNHOUSE NEAR TRENDY BUSHWICK HOTSPOTS,Brooklyn,East New York,Entire home/apt,100,27,16/06/2019
PERFECT LITTLE GEM IN THE EAST VILLAGE,Staten Island,West Brighton,Entire home/apt,75,9,07/06/2019
LOVELY AND BRIGHT ASTORIA APARTMENT,Queens,Astoria,Entire home/apt,110,33,20/06/2019
"BEST LOCATION! FLATIRON! LARGE 2 BEDROOM, TERRACE",Brooklyn,Sunset Park,Entire home/apt,80,46,16/06/2019
CHELSEA PRE-WAR ARTS APARTMENT,Manhattan,Hell's Kitchen,Entire home/apt,280,92,27/06/2019
PRIVATE BUSHWICK ROOM 15 MINS FROM MANHATTAN,Brooklyn,Bedford-Stuyvesant,Private room,50,8,16/04/2019
COZY APARTMENT CLOSE TO CENTRAL PARK,Brooklyn,Crown Heights,Entire home/apt,200,25,01/07/2019
"BEDROOM IN A COSY/ BRIGHT APARTMENT, WILLIAMSBURG",Brooklyn,Brooklyn Heights,Entire home/apt,1095,24,24/03/2019
BROOKLYN¬ÄôS FINEST IN FORT GREENE,Brooklyn,Kensington,Private room,56,58,01/01/2019
LUXURY MODERN ARTIST CHELSEA APARTMENT,Queens,East Elmhurst,Private room,80,27,18/12/2018
LITTLE COTTAGE,Brooklyn,Crown Heights,Entire home/apt,99,39,07/07/2019
COZY ROOM IN UPTOWN MANHATTAN,Brooklyn,Crown Heights,Entire home/apt,199,5,09/06/2019
2BED 2 BATH/COLUMBUS CIRCLE/ BALCONY,Brooklyn,Windsor Terrace,Private room,65,35,01/07/2019
CUTE ROOM! 15MINS TO LGA 17MINS TO MIDTOWN.,Brooklyn,East New York,Entire home/apt,249,7,21/05/2019
LARGE FURNISHED LOFT FINANCIAL DISTRICT!!,Brooklyn,Crown Heights,Entire home/apt,95,3,03/05/2018
BRIGHT ¬ÄòN CLEAN PRIVATE ROOM CLOSE TO L M TRAIN!!,Brooklyn,Bushwick,Private room,34,7,03/07/2019
RENOVATED 3 BEDROOM/2 FULL BATH DUPLEX.,Brooklyn,Bedford-Stuyvesant,Entire home/apt,190,24,08/12/2018
"OTTOMAN 3BR, 2BATH IN SAFEST NYC W/ BALCONY",Brooklyn,Cypress Hills,Private room,38,43,01/06/2019
GEM IN THE HEART OF MANHATTAN,Manhattan,Midtown,Entire home/apt,179,117,20/06/2019
"CLEAN, TIMES SQUARE ONE BEDROOM",Queens,Richmond Hill,Private room,40,56,26/05/2019
CHARMING ASTORIA,Brooklyn,Sheepshead Bay,Private room,45,34,23/05/2019
MASTER SUITE IN BROWNSTONE WITH GARDEN & FIRE PIT!,Manhattan,Hell's Kitchen,Entire home/apt,200,2,27/10/2017
BEAUTIFUL 1BR IN HEART OF MIDTOWN MANHATTAN,Queens,Forest Hills,Private room,50,30,01/07/2019
COLUMBIA UN AREA 127 ST AND CONVENT AVE,Brooklyn,Bedford-Stuyvesant,Private room,50,17,24/06/2019
MANHATTAN ROOM 3 NYC 127 ST AND CONVENT AVE,Queens,Astoria,Shared room,60,28,07/07/2019
AYOS ABODE,Manhattan,East Harlem,Private room,60,163,21/06/2019
ONE OF A KIND LOFT IN BROOKLYN,Brooklyn,Sheepshead Bay,Private room,53,9,05/07/2019
ELEGANT STUDIO-LOFT IN FLATIRON / NOMAD,Manhattan,Lower East Side,Private room,75,3,11/08/2018
"SUNNY LOFTY SANCTUARY IN ARTSY BUSHWICK, GUEST BR",Brooklyn,Crown Heights,Entire home/apt,129,24,01/07/2019
SONDER | STOCK EXCHANGE | WELCOMING 1BR + SOFA BED,Brooklyn,Williamsburg,Entire home/apt,250,10,25/05/2019
SONDER | STOCK EXCHANGE | PEACEFUL 1BR + SOFA BED,Queens,Astoria,Entire home/apt,120,11,01/01/2019
SONDER | WALL STREET | QUAINT STUDIO + LAUNDRY,Manhattan,Upper West Side,Private room,120,141,30/06/2019
SHOOTS ONLY  INDUSTRIAL DUMBO WAREHOUSE STUDIO,Bronx,Mott Haven,Private room,40,73,29/05/2019
CLEAN/CONVENIENT APARTMENT W/ROOFTOP & GYM.,Brooklyn,Canarsie,Private room,89,2,07/10/2018
PRIVATE 2BR NEAR THE BEACH AND SUBWAY/HAS YARD!!!,Queens,Ridgewood,Entire home/apt,49,59,18/06/2019
SONDER | STOCK EXCHANGE | PREMIER 2BR + LAUNDRY,Brooklyn,Bedford-Stuyvesant,Private room,60,26,07/06/2019
SONDER | STOCK EXCHANGE | CLASSIC 1BR + KITCHEN,Manhattan,Chelsea,Entire home/apt,500,26,23/05/2019
SONDER | STOCK EXCHANGE | MODERN 2BR + LOUNGE,Bronx,East Morrisania,Private room,75,71,22/06/2019
SONDER | STOCK EXCHANGE | CALMING 3BR + SOFA BED,Manhattan,East Village,Entire home/apt,120,41,29/06/2019
SONDER | WALL STREET | CALMING 1BR + LAUNDRY,Manhattan,Washington Heights,Entire home/apt,120,32,22/04/2019
SONDER | STOCK EXCHANGE | TRANQUIL 2BR + LOUNGE,Brooklyn,Downtown Brooklyn,Entire home/apt,275,20,15/05/2019
SONDER | WALL STREET | DREAMY 2BR + LAUNDRY,Queens,Jamaica,Entire home/apt,130,95,27/06/2019
SONDER | STOCK EXCHANGE | PRIVATE 1BR + LOUNGE,Staten Island,Midland Beach,Entire home/apt,90,8,29/05/2019
SONDER | STOCK EXCHANGE | ARTSY STUDIO + LAUNDRY,Staten Island,Midland Beach,Entire home/apt,105,20,10/06/2019
SONDER | STOCK EXCHANGE | BEAUTIFUL 1BR + KITCHEN,Manhattan,Upper West Side,Entire home/apt,190,5,21/02/2019
SONDER | STOCK EXCHANGE | UPSCALE 1BR + SOFA BED,Brooklyn,Vinegar Hill,Private room,69,5,19/04/2019
MIDTOWN 2BR W/ PATIO! CENTRAL PARK & TIMES SQ!,Brooklyn,East Flatbush,Entire home/apt,100,97,07/07/2019
BIG ROOM 25 MIN TO TIME SQUARE,Brooklyn,Prospect Heights,Entire home/apt,121,21,18/06/2019
PRIVATE BEDROOM IN A CHARMING APARTMENT,Brooklyn,Brighton Beach,Private room,95,7,27/06/2019
URBAN ZEN IN THE HEART OF WILLIAMSBURG,Brooklyn,Bedford-Stuyvesant,Entire home/apt,389,107,06/07/2019
ZEN DEN 1BR UPTOWN OASIS,Brooklyn,Windsor Terrace,Entire home/apt,150,4,28/04/2019
SONDER | STOCK EXCHANGE | INCREDIBLE 3BR + LOUNGE,Manhattan,Upper West Side,Entire home/apt,190,6,16/05/2019
SONDER | STOCK EXCHANGE | LIVELY STUDIO + KITCHEN,Brooklyn,Crown Heights,Entire home/apt,199,7,29/04/2019
SONDER | STOCK EXCHANGE | DREAMY 1BR + KITCHEN,Bronx,Bronxdale,Private room,35,21,11/12/2018
SONDER | STOCK EXCHANGE | DREAMY 2BR + SOFA BED,Queens,Queens Village,Private room,75,16,20/09/2018
SONDER | STOCK EXCHANGE | WELCOMING 1BR + LAUNDRY,Queens,Ditmars Steinway,Private room,40,101,23/06/2019
SONDER | STOCK EXCHANGE | PREMIER 2BR + LOUNGE,Manhattan,Kips Bay,Private room,69,25,18/05/2019
SONDER | STOCK EXCHANGE | TRANQUIL 2BR + KITCHEN,Manhattan,Midtown,Entire home/apt,333,66,23/06/2019
SONDER | STOCK EXCHANGE | BOLD 1BR + KITCHEN,Queens,Flushing,Private room,50,74,26/06/2019
SONDER | STOCK EXCHANGE | BRIGHT 1BR + LAUNDRY,Queens,Sunnyside,Private room,60,105,14/06/2019
SONDER | STOCK EXCHANGE | DESIGN STUDIO + LAUNDRY,Queens,Arverne,Entire home/apt,150,2,11/03/2019
SONDER | STOCK EXCHANGE | MODERN STUDIO + KITCHEN,Brooklyn,East Flatbush,Private room,89,14,05/05/2019
SONDER | STOCK EXCHANGE | CHIC 1BR + SOFA BED,Queens,Rego Park,Entire home/apt,115,78,12/06/2019
SONDER | STOCK EXCHANGE | WARM STUDIO + KITCHEN,Queens,Richmond Hill,Entire home/apt,100,3,24/06/2019
SONDER | STOCK EXCHANGE | CENTRAL 1BR + SOFA BED,Queens,East Elmhurst,Private room,40,1,02/07/2019
SONDER | STOCK EXCHANGE | DISTINCT 1BR + KITCHEN,Queens,Ridgewood,Private room,78,60,30/06/2019
SONDER | STOCK EXCHANGE | UNIQUE 1BR + LAUNDRY,Brooklyn,Bedford-Stuyvesant,Private room,65,87,23/06/2019
CHARMING & SPACIOUS LOFT IN CLINTON HILL,Brooklyn,Williamsburg,Private room,55,58,10/06/2019
SONDER | STOCK EXCHANGE | SMART 1BR + KITCHEN,Manhattan,Harlem,Private room,63,50,30/06/2019
SONDER | STOCK EXCHANGE | QUAINT STUDIO + LOUNGE,Queens,Flushing,Private room,43,65,07/06/2019
SONDER | STOCK EXCHANGE | SMART 1BR + SOFA BED,Bronx,Westchester Square,Entire home/apt,72,35,23/06/2019
SONDER | STOCK EXCHANGE | CLASSIC STUDIO + KITCHEN,Queens,Sunnyside,Entire home/apt,199,63,01/06/2019
SONDER | STOCK EXCHANGE | TASTEFUL 3BR + KITCHEN,Brooklyn,Bedford-Stuyvesant,Private room,90,55,19/06/2019
SONDER | STOCK EXCHANGE | LIVELY 1BR + LAUNDRY,Queens,Woodhaven,Private room,55,86,07/07/2019
SONDER | STOCK EXCHANGE | PLAYFUL 1BR + SOFA BED,Brooklyn,Bedford-Stuyvesant,Private room,80,64,06/07/2019
SONDER | STOCK EXCHANGE | LOVELY 1BR + SOFA BED,Manhattan,Upper East Side,Private room,154,5,06/09/2018
SONDER | STOCK EXCHANGE | UNIQUE 1BR + KITCHEN,Brooklyn,Bushwick,Private room,50,3,27/08/2017
SONDER | STOCK EXCHANGE | CLASSIC 1BR + SOFA BED,Manhattan,Upper East Side,Entire home/apt,125,131,17/06/2019
SONDER | STOCK EXCHANGE | AIRY 1BR + KITCHEN,Manhattan,Hell's Kitchen,Private room,174,17,23/06/2019
SONDER | STOCK EXCHANGE | ARTSY STUDIO + KITCHEN,Bronx,Williamsbridge,Private room,45,33,19/06/2019
SONDER | STOCK EXCHANGE | DELIGHTFUL 1BR + KITCHEN,Brooklyn,Greenpoint,Entire home/apt,115,92,28/06/2019
SONDER | STOCK EXCHANGE | STYLISH STUDIO + KITCHEN,Manhattan,Harlem,Entire home/apt,130,35,21/06/2019
SONDER | STOCK EXCHANGE | BOLD 1BR + LOUNGE,Queens,Jamaica,Entire home/apt,63,14,28/04/2019
COZY ESCAPE IN THE THRIVING HEART OF BED-STUY,Manhattan,Hell's Kitchen,Entire home/apt,275,86,23/06/2019
SONDER | STOCK EXCHANGE | SERENE 2BR + LOUNGE,Manhattan,Harlem,Entire home/apt,130,40,18/06/2019
SONDER | STOCK EXCHANGE | CLASSIC STUDIO + LOUNGE,Brooklyn,Greenpoint,Private room,43,153,22/06/2019
SONDER | STOCK EXCHANGE | PREMIER 2BR + SOFA BED,Brooklyn,Bay Ridge,Shared room,225,1,31/08/2017
SONDER | STOCK EXCHANGE | LIVELY 1BR + KITCHEN,Brooklyn,Bushwick,Private room,60,2,29/08/2017
SONDER | STOCK EXCHANGE | SMART 1BR + LAUNDRY,Brooklyn,Bedford-Stuyvesant,Private room,150,5,31/08/2018
SONDER | STOCK EXCHANGE | BRIGHT 1BR + KITCHEN,Brooklyn,East New York,Entire home/apt,83,42,30/06/2019
SONDER | STOCK EXCHANGE | SUNNY 1BR + SOFA BED,Queens,Richmond Hill,Private room,40,59,08/06/2019
SONDER | STOCK EXCHANGE | BRIGHT 1BR + SOFA BED,Brooklyn,Bedford-Stuyvesant,Entire home/apt,68,11,31/05/2019
SONDER | STOCK EXCHANGE | AIRY 1BR + LAUNDRY,Manhattan,Midtown,Entire home/apt,200,5,19/10/2018
SONDER | STOCK EXCHANGE | LOVELY 1BR + LAUNDRY,Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,6,20/01/2019
SONDER | STOCK EXCHANGE | LIVELY 1BR + SOFA BED,Manhattan,Upper East Side,Private room,105,29,30/06/2019
SONDER | STOCK EXCHANGE | CHIC 1BR + KITCHEN,Manhattan,Midtown,Entire home/apt,350,2,01/11/2018
SONDER | STOCK EXCHANGE | PRISTINE 1BR + KITCHEN,Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,3,26/05/2019
SUN-DRENCHED 1 BR/1BA NEAR GRAND ARMY PLAZA #10313,Queens,Sunnyside,Private room,98,106,12/06/2019
PRIVATE ROOM IN STUNNING APARTMENT,Brooklyn,Bedford-Stuyvesant,Entire home/apt,122,7,23/09/2018
LARGE TRENDY STUDIO!!!,Manhattan,East Harlem,Private room,185,98,26/06/2019
QUIET PRIVATE ROOM IN THE EXCITING EAST VILLAGE!,Queens,Ditmars Steinway,Private room,39,178,22/06/2019
THE BERRY - HIP IN THE HEART OF WILLIAMSBURG.,Queens,Sunnyside,Private room,65,72,30/06/2019
URBAN CASITA,Queens,Fresh Meadows,Private room,60,100,22/06/2019
UPPER DITMARS TOP FL OF HOME WITH PATIO,Brooklyn,Bedford-Stuyvesant,Entire home/apt,170,62,30/06/2019
PRIVATE ROOM FOR UP TO 2 GUESTS,Queens,South Ozone Park,Entire home/apt,50,310,06/07/2019
WELCOME TO MY LOVELY STUDIO.,Manhattan,Murray Hill,Entire home/apt,222,1,03/08/2018
2400 SQ. FT. LUXURY TRIBECA LOFT,Manhattan,Murray Hill,Entire home/apt,175,3,14/06/2019
COZY ROOM IN BRAND NEW CONDO WITH ROOFTOP & GYM,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,90,81,23/06/2019
BRIGHT ROOM IN A SPACIOUS APARTMENT,Brooklyn,South Slope,Entire home/apt,196,93,21/06/2019
PRIVATE APARTMENT IN THE HEART OF EAST VILLAGE,Manhattan,Chelsea,Entire home/apt,170,1,13/11/2017
SWEET STUDIO APARTMENT IN SUNNYSIDE,Queens,Sunnyside,Private room,70,91,26/06/2019
COZY/ SMALLISH  ON 143 ST & BROADWAY,Manhattan,SoHo,Entire home/apt,899,5,01/05/2019
